,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
7045,1,MANHATTAN VALLEY,04 TAX CLASS 1 CONDOS                      ,1C,1847,1302, ,R6,320 WEST 113 STREET,2,10026,1,0,1, -  , -  ,1905,1,R6,4454843,11/14/2016 0:00
7046,1,MANHATTAN VALLEY,04 TAX CLASS 1 CONDOS                      ,1C,1847,1401, ,R6,315 WEST 112 STREET,A,10026,1,0,1, -  , -  ,1900,1,R6,3053731,11/23/2016 0:00
7047,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1836,20, ,C4,4 MANHATTAN AVENUE, ,10025,36,0,36,3550,14268,1900,2,C4,2350000,3/23/2017 0:00
7048,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1837,26, ,C4,5 WEST 101 STREET, ,10025,20,0,20,3835,12805,1930,2,C4,10350000,1/17/2017 0:00
7049,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1842,21, ,C4,21 WEST 106 STREET, ,10025,20,0,20,3028,11390,1920,2,C4,9400000,1/31/2017 0:00
7050,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1842,62, ,C7,953 COLUMBUS AVENUE, ,10025,10,2,12,1875,7540,1900,2,C7,4554000,8/17/2017 0:00
7051,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1843,1, ,C7,961 COLUMBUS AVENUE, ,10025,14,1,15,2517,12215,1917,2,C7,7595000,5/16/2017 0:00
7058,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1845,58, ,C1,354 CATHEDRAL PARKWAY, ,10025,30,0,30,5229,20412,1925,2,C1,17000000,10/7/2016 0:00
7060,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1846,37, ,C4,309 WEST 111 STREET, ,10026,15,0,15,3364,12310,1910,2,C4,8600000,1/3/2017 0:00
7063,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1847,7, ,C5,325 W 112TH STREET, ,10026,12,0,12,1682,3332,1900,2,C5,2200000,8/21/2017 0:00
